input_filename	batch_id	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	pore_type	experiment_id	sample_id	end_reason
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	b1b01b8f-7006-4f0d-8e9d-12eaf6107d13	b1b01b8f-7006-4f0d-8e9d-12eaf6107d13	66b2eea5-f887-4690-bd76-97fd9c4e416b	275	2	1486	1312.489990	2.327600	TRUE	1312.580811	1864	2.236800	900	23.470793	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	6a76a54d-c802-4b0a-beb6-a8fcf59307bc	6a76a54d-c802-4b0a-beb6-a8fcf59307bc	66b2eea5-f887-4690-bd76-97fd9c4e416b	1552	4	27136	1243.661011	45.957199	TRUE	1243.773438	38204	45.844799	17115	26.888100	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	0712c663-fc80-45da-bc80-00f7e1136b8d	0712c663-fc80-45da-bc80-00f7e1136b8d	66b2eea5-f887-4690-bd76-97fd9c4e416b	1213	3	15030	1305.411011	24.088400	TRUE	1305.511353	19990	23.988001	9784	29.290030	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	f0d85ab2-bb70-47f7-a64f-424e953d03dc	f0d85ab2-bb70-47f7-a64f-424e953d03dc	66b2eea5-f887-4690-bd76-97fd9c4e416b	34	2	19197	1286.282959	29.210400	TRUE	1286.284912	24340	29.208401	12126	9.800270	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	3b4079ab-e639-4566-9695-fcf0d57aecc8	3b4079ab-e639-4566-9695-fcf0d57aecc8	66b2eea5-f887-4690-bd76-97fd9c4e416b	1379	3	66636	1196.255981	109.026001	TRUE	1196.257935	90853	109.024002	17026	1.967068	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	7f38fa98-aa92-4bc9-8707-51673c996e03	7f38fa98-aa92-4bc9-8707-51673c996e03	66b2eea5-f887-4690-bd76-97fd9c4e416b	527	2	40664	1260.587036	63.648800	TRUE	1260.692261	52953	63.543598	28510	24.369228	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	501422f2-fbfb-4d39-ad47-f14eeb38fafc	501422f2-fbfb-4d39-ad47-f14eeb38fafc	66b2eea5-f887-4690-bd76-97fd9c4e416b	2404	1	34775	1284.260986	56.717602	TRUE	1284.373413	47171	56.605202	22152	26.434242	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	768d29a0-c80b-432e-9ade-8ecb6ea5583e	768d29a0-c80b-432e-9ade-8ecb6ea5583e	66b2eea5-f887-4690-bd76-97fd9c4e416b	582	4	2372	1262.329956	3.666800	TRUE	1262.468750	2940	3.528000	1517	24.455944	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	e298f7da-ebb0-42f5-b111-670d90844865	e298f7da-ebb0-42f5-b111-670d90844865	66b2eea5-f887-4690-bd76-97fd9c4e416b	2178	2	4338	1297.517944	7.147200	TRUE	1297.519897	5954	7.145200	2166	4.294916	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	ce40a683-166c-48e4-86fb-c48e8ca0c24d	ce40a683-166c-48e4-86fb-c48e8ca0c24d	66b2eea5-f887-4690-bd76-97fd9c4e416b	2705	1	23618	1267.670044	39.202400	TRUE	1267.787231	32571	39.085201	14957	31.480978	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
