drug	gene	risk_association	paired_tstat	p
Bortezomib	FILIP1L	High_risk	1.65967737	0.030769231
Bortezomib	FMO1	High_risk	0.326406639	0.584615385
Bortezomib	FSHB	High_risk	0.125295774	0.738461538
Bortezomib	GBA	High_risk	1.177210721	0.061538462
Bortezomib	GPX2	High_risk	0.523842388	0.692307692
Bortezomib	HDAC9	High_risk	0.561249523	0.661538462
Bortezomib	HMG20B	High_risk	-1.156783477	0.215384615
Bortezomib	ICK	High_risk	-4.227119309	0.015384615
Bortezomib	IER3	High_risk	0.491429753	0.723076923
Bortezomib	IFI30	High_risk	0.874334216	0.061538462
Bortezomib	IGFBP6	High_risk	-1.696496002	0.015384615
Bortezomib	IQGAP1	High_risk	-0.945579758	0.107692308
Bortezomib	ITGA9	High_risk	-1.274643485	0.338461538
Bortezomib	KRT7	High_risk	1.890186375	0.107692308
Bortezomib	LOXL2	High_risk	-0.906278273	0.076923077
Bortezomib	LPP	High_risk	-2.132369208	0.015384615
Bortezomib	MMP7	High_risk	0.036633537	0.984615385
Bortezomib	NCAPH	High_risk	0.899965946	0.030769231
Bortezomib	NFKB2	High_risk	1.78837818	0.046153846
Bortezomib	NOL7	High_risk	-2.545485864	0.015384615
Bortezomib	NOS2A	High_risk	2.212904435	0.030769231
Bortezomib	NTS	High_risk	0.854491568	0.076923077
Bortezomib	PODXL	High_risk	0.069482107	0.938461538
Bortezomib	PRKG2	High_risk	-0.657677993	0.323076923
Bortezomib	PSMB9	High_risk	-0.471120831	0.492307692
Bortezomib	RBM34	High_risk	0.162884125	0.784615385
Bortezomib	RNASE1	High_risk	1.732673758	0.107692308
Bortezomib	SERPINB2	High_risk	1.640060114	0.030769231
Bortezomib	SERPINB8	High_risk	0.041892332	0.923076923
Bortezomib	SH3GL2	High_risk	2.120854913	0.030769231
Bortezomib	SLC12A2	High_risk	0.080635241	0.907692308
Bortezomib	SLC7A1	High_risk	-2.203535554	0.015384615
Bortezomib	SLIT3	High_risk	-0.322709039	0.769230769
Bortezomib	SP100	High_risk	-1.027196818	0.107692308
Bortezomib	TCF4	High_risk	-1.476724046	0.061538462
Bortezomib	TEAD4	High_risk	-2.875093136	0.015384615
Bortezomib	TGFB1I1	High_risk	0.018136399	1
Bortezomib	TNK2	High_risk	-2.94991084	0.015384615
Bortezomib	TRIO	High_risk	-3.412426791	0.015384615
Bortezomib	TSC22D2	High_risk	-4.004910156	0.015384615
Bortezomib	WIPF1	High_risk	0.769180706	0.569230769
Bortezomib	AARS	Low_risk	0.994004541	0.246153846
Bortezomib	ACOT2	Low_risk	-0.733888163	0.307692308
Bortezomib	ACSM3	Low_risk	0.359569629	0.584615385
Bortezomib	ADH5	Low_risk	-0.586028568	0.430769231
Bortezomib	ADH6	Low_risk	-0.533342141	0.292307692
Bortezomib	ADRA2B	Low_risk	-0.555814473	0.4
Bortezomib	AKR1A1	Low_risk	0.155506267	0.6
Bortezomib	AKR1D1	Low_risk	-0.781678514	0.123076923
Bortezomib	ALAS1	Low_risk	0.715158562	0.676923077
Bortezomib	ALDH9A1	Low_risk	0.116671083	0.907692308
Bortezomib	ANKRD46	Low_risk	0.501564531	0.184615385
Bortezomib	AOX1	Low_risk	0.052406118	0.907692308
Bortezomib	AR	Low_risk	3.000315327	0.107692308
Bortezomib	ARF4	Low_risk	3.261131913	0.030769231
Bortezomib	ART1	Low_risk	0.293339983	0.676923077
Bortezomib	ASAHL	Low_risk	0.754942381	0.076923077
Bortezomib	ATP2C1	Low_risk	1.765427969	0.092307692
Bortezomib	ATP5D	Low_risk	0.216022308	0.707692308
Bortezomib	ATP6AP2	Low_risk	1.133351706	0.246153846
Bortezomib	BAIAP2	Low_risk	0.793270016	0.4
Bortezomib	BRP44	Low_risk	1.303931845	0.030769231
Bortezomib	C4BPB	Low_risk	1.838157782	0.046153846
Bortezomib	C5	Low_risk	2.34634896	0.030769231
Bortezomib	C8B	Low_risk	2.098029498	0.030769231
Bortezomib	C9	Low_risk	1.892137216	0.030769231
Bortezomib	CALCR	Low_risk	0.430648622	0.692307692
Bortezomib	CCT8	Low_risk	-0.100566286	0.830769231
Bortezomib	CPN1	Low_risk	-1.495239381	0.015384615
Bortezomib	CPOX	Low_risk	-1.455730297	0.261538462
Bortezomib	CREB1	Low_risk	0.023224287	0.969230769
Bortezomib	CTBS	Low_risk	0.988375873	0.030769231
Bortezomib	CUTL2	Low_risk	5.116707203	0.030769231
Bortezomib	CYB5A	Low_risk	0.176557399	0.753846154
Bortezomib	CYP2B6	Low_risk	-0.408977063	0.769230769
Bortezomib	DAD1	Low_risk	-0.323336228	0.784615385
Bortezomib	DLGAP4	Low_risk	-0.970402698	0.107692308
Bortezomib	DOCK4	Low_risk	-0.717307425	0.446153846
Bortezomib	DST	Low_risk	-1.13583116	0.076923077
Bortezomib	EIF2B1	Low_risk	1.637661385	0.030769231
Bortezomib	EMD	Low_risk	0.698543897	0.2
Bortezomib	ERCC5	Low_risk	-0.230491211	0.630769231
Bortezomib	F9	Low_risk	2.717493215	0.030769231
Bortezomib	FAM129A	Low_risk	-1.373048263	0.015384615
Bortezomib	GCGR	Low_risk	-1.434079751	0.015384615
Bortezomib	GCKR	Low_risk	-0.60834698	0.169230769
Bortezomib	GGCX	Low_risk	0.732409987	0.030769231
Bortezomib	GHR	Low_risk	0.202285234	0.8
Bortezomib	GJB1	Low_risk	2.213747683	0.030769231
Bortezomib	GRK4	Low_risk	-0.553197288	0.184615385
Bortezomib	GRM5	Low_risk	-1.32850089	0.015384615
Bortezomib	GSTM1	Low_risk	-0.258280029	0.661538462
Bortezomib	HAAO	Low_risk	-0.552091806	0.523076923
Bortezomib	HABP2	Low_risk	-1.12047804	0.015384615
Bortezomib	HMGCL	Low_risk	-1.393933534	0.076923077
Bortezomib	HMGCR	Low_risk	-0.608070402	0.523076923
Bortezomib	HRASLS3	Low_risk	-4.926456709	0.015384615
Bortezomib	HSPE1	Low_risk	-0.064656669	0.938461538
Bortezomib	IGF1	Low_risk	-1.403765063	0.046153846
Bortezomib	IMPA1	Low_risk	1.129562328	0.076923077
Bortezomib	INSM1	Low_risk	0.040816736	0.861538462
Bortezomib	KCNJ3	Low_risk	0.358989083	0.538461538
Bortezomib	LIPC	Low_risk	0.525770882	0.769230769
Bortezomib	MGC29506	Low_risk	-0.674108809	0.4
Bortezomib	MSH6	Low_risk	-0.918720734	0.076923077
Bortezomib	NARS2	Low_risk	1.199835946	0.030769231
Bortezomib	NENF	Low_risk	1.735125356	0.384615385
Bortezomib	PCK1	Low_risk	0.70779581	0.061538462
Bortezomib	PCYT2	Low_risk	0.504827797	0.769230769
Bortezomib	PFKFB1	Low_risk	-0.366232469	0.292307692
Bortezomib	PIGK	Low_risk	0.775898419	0.384615385
Bortezomib	PKLR	Low_risk	-0.620905877	0.338461538
Bortezomib	PLCB3	Low_risk	1.347162017	0.153846154
Bortezomib	PLCG2	Low_risk	-1.280488203	0.184615385
Bortezomib	PLG	Low_risk	1.703184837	0.030769231
Bortezomib	PMM1	Low_risk	-0.19646856	0.846153846
Bortezomib	POLRMT	Low_risk	1.823366162	0.030769231
Bortezomib	PON3	Low_risk	0.909554452	0.030769231
Bortezomib	PPP1R1A	Low_risk	0.765683342	0.123076923
Bortezomib	PROS1	Low_risk	0.700748478	0.030769231
Bortezomib	PSMB3	Low_risk	1.722126082	0.184615385
Bortezomib	PTPN18	Low_risk	-1.165505232	0.046153846
Bortezomib	PTPN2	Low_risk	-0.572240774	0.6
Bortezomib	RAD52	Low_risk	-1.378048727	0.015384615
Bortezomib	RFC2	Low_risk	0.733330921	0.830769231
Bortezomib	RLF	Low_risk	-1.239290609	0.369230769
Bortezomib	RPS6KA5	Low_risk	-1.095623765	0.030769231
Bortezomib	RRM1	Low_risk	1.201075629	0.061538462
Bortezomib	SC5DL	Low_risk	0.920548783	0.030769231
Bortezomib	SCG5	Low_risk	0.704162744	0.215384615
Bortezomib	SDHC	Low_risk	0.891649865	0.169230769
Bortezomib	SELENBP1	Low_risk	-1.533908043	0.015384615
Bortezomib	SFRS2	Low_risk	-1.538493024	0.015384615
Bortezomib	SLC37A4	Low_risk	0.535871015	0.815384615
Bortezomib	SLC4A4	Low_risk	-0.906257106	0.015384615
Bortezomib	SNX10	Low_risk	0.467983219	0.738461538
Bortezomib	SREBF2	Low_risk	-1.59054934	0.061538462
Bortezomib	SSFA2	Low_risk	0.459797459	0.692307692
Bortezomib	SUCLG1	Low_risk	0.193627571	0.769230769
Bortezomib	TAF1C	Low_risk	-0.839365455	0.092307692
Bortezomib	TDO2	Low_risk	0.662596141	0.338461538
Bortezomib	TIMM8A	Low_risk	-1.789310992	0.015384615
Bortezomib	TM7SF2	Low_risk	-3.27420849	0.015384615
Bortezomib	TMEM97	Low_risk	3.708644469	0.061538462
Bortezomib	TRAF6	Low_risk	-0.52787401	0.369230769
Bortezomib	TTR	Low_risk	0.27854766	0.461538462
Bortezomib	TXN2	Low_risk	1.612865644	0.184615385
Bortezomib	USP14	Low_risk	1.001750569	0.446153846
Bortezomib	VPS41	Low_risk	-0.735733928	0.676923077
Bortezomib	WDR23	Low_risk	-1.493225485	0.015384615
Bortezomib	XPA	Low_risk	-1.112490855	0.292307692
Bortezomib	ZBTB17	Low_risk	2.443581386	0.030769231
Bortezomib	ZER1	Low_risk	-1.807840554	0.246153846
Bortezomib	ZNF185	Low_risk	-1.562105501	0.261538462
Captopril	ABLIM1	High_risk	0.790533047	0.2
Captopril	ACTR2	High_risk	-0.642966674	0.2
Captopril	ADD3	High_risk	-1.896339917	0.2
Captopril	AEBP1	High_risk	-1.530642603	0.2
Captopril	AKAP13	High_risk	-1.772652515	0.2
Captopril	ANXA1	High_risk	-1.78891098	0.2
Captopril	ANXA3	High_risk	-1.976878978	0.2
Captopril	AP1B1	High_risk	1.949016057	1
Captopril	ATP4B	High_risk	-0.204664873	0.2
Captopril	BCL2	High_risk	1.593879014	1
Captopril	CCDC6	High_risk	-1.894866258	0.2
Captopril	CCL19	High_risk	1.582179566	1
Captopril	CCL21	High_risk	0.763718786	0.2
Captopril	CD48	High_risk	0.09650867	0.2
Captopril	CHERP	High_risk	-2.234539047	0.2
Captopril	CHSY1	High_risk	-0.874718138	1
Captopril	COL16A1	High_risk	-2.10590525	0.2
Captopril	COL4A1	High_risk	1.071866293	1
Captopril	COL6A3	High_risk	0.290243522	0.2
Captopril	CPA3	High_risk	-1.021668554	0.2
Captopril	CTNND2	High_risk	-1.817731898	0.2
Captopril	CXCR4	High_risk	-0.048722988	0.2
Captopril	DAB2	High_risk	-1.975430959	0.2
Captopril	DDR1	High_risk	0.211125294	1
Captopril	DUSP5	High_risk	-1.892232841	0.2
Captopril	EDG4	High_risk	-0.881686542	1
Captopril	EGF	High_risk	-2.064397439	0.2
Captopril	ELOVL2	High_risk	-1.749301493	1
Captopril	EMP2	High_risk	0.345857231	0.2
Captopril	EPHA4	High_risk	-0.698893181	0.2
Captopril	EPM2AIP1	High_risk	-1.51900715	0.2
Captopril	FBN1	High_risk	-1.341004202	0.2
Captopril	FILIP1L	High_risk	-1.986900675	0.2
Captopril	FMO1	High_risk	-1.620087469	0.2
Captopril	FSHB	High_risk	-0.071845606	0.2
Captopril	GBA	High_risk	-1.61472887	1
Captopril	GPX2	High_risk	-1.739985455	0.2
Captopril	HDAC9	High_risk	-0.014368755	0.2
Captopril	HMG20B	High_risk	1.581523574	1
Captopril	ICK	High_risk	-1.248966896	0.2
Captopril	IER3	High_risk	0.546223999	0.2
Captopril	IFI30	High_risk	0.611003812	1
Captopril	IGFBP6	High_risk	-2.041573603	0.2
Captopril	IQGAP1	High_risk	-1.868445258	0.2
Captopril	ITGA9	High_risk	1.533415466	1
Captopril	KRT7	High_risk	0.095689098	0.2
Captopril	LOXL2	High_risk	0.559913798	0.2
Captopril	LPP	High_risk	-0.42906646	0.2
Captopril	MMP7	High_risk	-0.079815457	0.2
Captopril	NCAPH	High_risk	-1.85802332	0.2
Captopril	NFKB2	High_risk	-2.19336874	0.2
Captopril	NOL7	High_risk	-1.794896547	0.2
Captopril	NOS2A	High_risk	-0.000258105	0.2
Captopril	NTS	High_risk	-1.825952487	0.2
Captopril	PODXL	High_risk	-0.969676965	0.2
Captopril	PRKG2	High_risk	0.159216633	0.2
Captopril	PSMB9	High_risk	-1.144862843	0.2
Captopril	RBM34	High_risk	-1.952072508	0.2
Captopril	RNASE1	High_risk	0.324718327	0.2
Captopril	SERPINB2	High_risk	-1.91015367	0.2
Captopril	SERPINB8	High_risk	0.193759274	0.2
Captopril	SH3GL2	High_risk	-0.365816572	0.2
Captopril	SLC12A2	High_risk	-1.395293564	0.2
Captopril	SLC7A1	High_risk	-1.859213891	0.2
Captopril	SLIT3	High_risk	-0.975216715	1
Captopril	SP100	High_risk	1.578497535	1
